	Valence	(SD)		Arousal	(SD)
Sp112.jpg	40.752	(23.90)		44.982	(26.43)
Sp113.jpg	24.453	(29.14)		65.273	(31.79)
Sp114.jpg	50.125	(35.92)		49.21	(36.09)
Sp115.jpg	39.052	(35.12)		69.371	(26.40)
Sp116.jpg	38.081	(30.76)		53.709	(31.17)
Sp117.jpg	31.788	(22.06)		56.324	(28.28)
Sp118.jpg	37.686	(31.07)		58.542	(30.27)
Sp119.jpg	33.877	(29.77)		61.809	(28.20)
Sp120.jpg	50.243	(22.43)		49.381	(26.14)
Sp121.jpg	53.435	(27.23)		43.119	(25.93)
Sp122.jpg	34.757	(28.25)		64.406	(25.11)
Sp123.jpg	45.158	(30.11)		43.88	(26.84)
Sp124.jpg	10.259	(16.38)		73.425	(24.49)
Sp125.jpg	14.139	(16.45)		68.94	(21.85)
Sp126.jpg	21.393	(26.58)		76.614	(26.62)
Sp127.jpg	11.653	(17.26)		70.602	(27.22)
Sp128.jpg	17.09	(18.48)		72.407	(18.88)
Sp129.jpg	27.226	(21.29)		55.858	(34.63)
Sp130.jpg	36.815	(28.35)		54.273	(29.17)
Sp131.jpg	18.533	(19.84)		78.285	(20.26)
Sp132.jpg	19.904	(23.58)		72.383	(35.44)
Sp133.jpg	32.758	(33.19)		64.343	(22.93)
Sp134.jpg	32.399	(26.06)		56.911	(26.77)
Sp135.jpg	34.361	(31.37)		63.989	(31.94)
Sp136.jpg	9.521	(16.27)		78.436	(21.72)
Sp137.jpg	36.803	(33.17)		53.799	(41.27)
Sp138.jpg	33.038	(31.76)		64.939	(25.63)
Sp139.jpg	27.444	(33.85)		66.495	(26.85)
Sp140.jpg	54.253	(26.37)		47.416	(25.22)
Sp141.jpg	33.244	(38.29)		71.069	(30.09)
Sp142.jpg	55.824	(26.50)		57.432	(26.89)
Sp143.jpg	36.412	(28.36)		55.752	(33.99)
Sp144.jpg	29.995	(37.18)		68.588	(29.91)
Sp145.jpg	26.516	(26.88)		65.684	(31.82)
Sp146.jpg	27.499	(26.35)		69.825	(31.91)
Sp147.jpg	23.422	(24.98)		74.484	(22.56)
Sp148.jpg	44.716	(31.00)		63.822	(23.51)
Sp149.jpg	36.9	(25.98)		59.526	(25.23)
Sp150.jpg	34.059	(29.90)		46.308	(27.71)
Sp151.jpg	13.101	(16.81)		67.15	(24.62)
Sp152.jpg	32.774	(26.74)		61.638	(35.62)
Sp153.jpg	11.817	(16.81)		74.541	(29.13)
Sp154.jpg	20.737	(26.25)		70.882	(27.48)
Sp155.jpg	53.348	(24.15)		51.338	(22.98)
Sp156.jpg	39.626	(32.97)		54.421	(38.91)
Sp157.jpg	32.313	(33.89)		64.81	(35.02)
Sp158.jpg	40.406	(26.34)		44.13	(24.80)
Sp159.jpg	55.637	(24.05)		44.821	(22.96)
Sp160.jpg	35.905	(37.09)		68.265	(25.69)
