	Valence	Arousal	Internal norms	External norms
A001.jpg	2.553	74.995	12.28942871	16.4091746
A002.jpg	45.698	56.948	75.41244507	78.69049072
A004.jpg	36.197	55.567	40.21511078	63.34552765
A005.jpg	43.439	48.905	51.03868757	40.09334019
A006.jpg	27.544	67.897	22.59479869	31.43463135
A007.jpg	9.945	80.940	11.8032282	6.986860795
A008.jpg	13.941	61.118	27.26758321	37.6247406
A009.jpg	12.554	68.251	16.11508456	20.963218
A010.jpg	20.095	59.918	24.16610718	29.38931783
A011.jpg	15.314	65.202	35.94936795	52.69012451
A013.jpg	2.116	71.199	10.53949992	13.95670573
A014.jpg	13.449	68.205	15.98421733	23.8726298
A015.jpg	25.292	49.524	28.71081034	25.66986084
A016.jpg	26.328	54.657	33.14332228	36.41495615
A017.jpg	19.328	61.913	24.67435201	25.33916127
A018.jpg	2.951	80.254	17.74953206	24.11473592
A019.jpg	31.632	37.720	36.22144063	58.08779399
A020.jpg	43.921	54.832	56.35986328	62.15057373
A021.jpg	11.466	73.033	23.2170105	26.38333639
A022.jpg	24.950	53.276	26.67663574	32.95791626
A023.jpg	39.657	66.628	40.73195024	50.15383634
A024.jpg	42.079	47.688	45.54540461	51.37039185
A025.jpg	12.698	70.391	21.83438619	31.67232645
A026.jpg	31.850	49.613	33.04386139	35.1234436
A027.jpg	14.332	59.137	33.5076072	42.72960316
A028.jpg	25.728	52.844	36.37517293	47.43372599
A029.jpg	17.556	73.501	15.01714533	19.71366189
A030.jpg	3.492	74.032	9.946695964	23.4287262
A031.jpg	47.866	28.412	44.08250289	51.01998069
A032.jpg	22.335	65.620	13.34991455	17.19080607
A033.jpg	11.406	75.875	13.99141947	27.20324198
A034.jpg	14.541	63.938	14.97472127	16.24437968
A035.jpg	15.219	66.286	18.41226351	28.17898454
A036.jpg	10.099	69.008	18.17448934	23.48734538
A037.jpg	9.590	71.531	15.41608175	32.17074076
A038.jpg	7.107	77.493	14.17744954	19.19212341
A039.jpg	46.592	50.394	28.77183394	44.74085028
A040.jpg	13.283	63.131	18.31734397	25.14690052
A041.jpg	1.354	83.041	0.470352173	0.481796265
A042.jpg	15.551	66.332	20.96729279	41.32167271
A043.jpg	26.463	45.946	34.56217448	47.80259566
A044.jpg	27.904	59.438	24.6827559	33.25750178
A045.jpg	39.516	34.829	52.41893422	54.13929332
A047.jpg	14.422	64.758	18.4745095	22.52731323
A048.jpg	20.067	67.133	29.55576579	43.06488037
A049.jpg	20.805	63.986	22.50116522	28.58688354
A050.jpg	17.095	74.867	23.52322665	24.38465465
A051.jpg	10.249	51.488	11.71646118	32.5360616
A052.jpg	33.874	45.797	33.89752706	31.16413463
A053.jpg	43.374	42.124	56.6324234	63.84239197
A054.jpg	31.094	65.351	39.75968794	47.12538286
A055.jpg	9.603	78.258	6.424204508	9.090550741
A056.jpg	17.083	59.645	14.25628662	11.11380837
A057.jpg	14.193	52.694	19.86618042	44.24044291
A058.jpg	23.977	62.866	32.29245273	39.60797345
A059.jpg	49.510	48.027	48.82420131	54.87540109
A060.jpg	31.445	58.323	36.47294478	43.86978149
A061.jpg	21.038	41.819	28.02060445	47.43109809
A062.jpg	13.920	67.251	15.58602073	23.93341064
A063.jpg	32.471	48.632	41.55471802	46.85470581
A064.jpg	34.857	61.277	31.71929253	33.842659
A067.jpg	24.387	56.758	30.19423051	44.36076771
A068.jpg	11.990	71.169	28.96487149	37.70181908
A069.jpg	15.834	63.027	14.00985718	28.69809469
A070.jpg	15.536	66.856	25.62963312	25.56318803
A071.jpg	5.957	68.240	23.18477631	19.39358181
A072.jpg	24.545	62.188	34.36991374	44.37357585
A073.jpg	11.092	63.592	15.72556929	20.80050382
A074.jpg	18.235	61.251	17.05225164	24.85296076
A075.jpg	0.414	89.040	0.36277771	0.454457601
A076.jpg	18.368	60.100	24.86758475	41.56644098
A077.jpg	17.551	48.588	14.77864583	39.10255432
A078.jpg	37.075	40.249	35.76416016	47.27249146
A079.jpg	7.469	70.881	17.29787191	22.37065633
A080.jpg	45.656	38.796	64.85580444	59.46014404
A081.jpg	28.797	40.305	35.63652039	56.02238973
A082.jpg	34.795	54.998	24.79909261	16.50238037
A083.jpg	7.076	82.561	16.23105136	26.0405107
A084.jpg	21.070	63.252	35.73760986	61.99313077
A085.jpg	18.306	51.204	21.90565629	41.95582072
A086.jpg	28.049	55.313	27.66372681	51.60285102
A087.jpg	16.036	63.062	14.83736905	38.04293546
A088.jpg	29.996	59.618	33.43925476	48.40499878
A089.jpg	3.070	83.622	10.17164751	22.24761963
A090.jpg	40.316	44.198	34.66269753	59.12142667
A091.jpg	10.828	75.485	19.08086141	35.76370239
A092.jpg	23.414	54.615	17.26393266	33.17219127
A093.jpg	9.178	57.255	9.715906779	22.30784098
A094.jpg	43.176	36.831	66.26541138	69.85592312
A095.jpg	6.366	74.934	19.20512806	29.14928089
A097.jpg	8.238	74.020	23.35080233	29.94329279
A098.jpg	17.543	58.951	44.98608907	48.29152425
A099.jpg	10.280	67.766	21.46953236	26.50077126
A100.jpg	1.723	82.476	17.36106873	19.71117655
A101.jpg	13.144	69.883	20.45440674	38.16286723
A102.jpg	44.106	40.174	53.13651345	56.94015503
A103.jpg	11.693	56.407	22.98694957	31.62647594
A104.jpg	10.215	63.457	24.06679789	30.55737813
A105.jpg	30.428	43.906	38.42426647	42.8663774
A106.jpg	12.730	70.549	15.30647278	22.33479818
A107.jpg	25.357	50.770	32.66781894	60.78088934
A108.jpg	44.751	46.579	55.16647339	77.06130981
A109.jpg	39.678	50.127	56.85333252	68.04945204
A110.jpg	17.207	53.442	18.0505926	27.64907837
A111.jpg	26.455	55.001	23.26965332	30.4345025
A112.jpg	27.575	51.536	29.96246338	38.90197754
A113.jpg	10.053	67.334	12.49211629	23.15951261
A114.jpg	23.414	54.116	28.99462382	51.11249288
A115.jpg	16.120	74.747	24.22249534	26.53600519
A116.jpg	10.928	72.923	14.82836405	23.26227824
A117.jpg	11.872	62.752	22.27121989	47.80972799
A118.jpg	25.933	62.276	26.72983805	44.09859397
A119.jpg	18.398	67.636	17.00782776	23.9083608
A120.jpg	12.011	71.410	21.09430487	32.84851074
A121.jpg	14.531	61.043	16.39188131	38.53886922
A122.jpg	33.782	43.149	40.53386341	54.75602583
A123.jpg	22.219	61.983	27.87414551	45.82015991
A124.jpg	47.950	48.518	58.72844349	71.19140625
A125.jpg	10.435	73.231	11.1017863	25.5598704
A127.jpg	13.462	58.438	19.80234782	33.5202535
A128.jpg	14.139	76.389	15.02893621	21.02134011
A129.jpg	23.941	44.639	31.24936422	37.02418009
A130.jpg	33.688	48.936	39.24574419	42.93823242
A131.jpg	13.615	62.057	17.35165914	32.60281881
